Code,Typ,Meldung
COL_MISSING,Layer,Spalte fehlt
COL_ID_MISSING,Layer,Spalte für den eindeutigen Namen fehlt
VAL_DUPLICAT,Attribut,Duplikat in Spalte mit eindeutigen Werten
VAL_MISSING,Attribut,Fehlender Wert
VAL_ERROR,Attribut,Unzulässiger Wert
GEOM_EMPTY,Geometrie,leere Geometrie
GEOM_MULTI,Geometrie,Multigeometrie
GEOM_SELFINTERSECT,Geometrie,Selbstueberschneidung
GEOM_INTERSECT,Geometrie,Ueberschneidung mit anderem Objekt
GEOM_TOOSHORT,Geometrie,Zu kurze Liniengeometrie
GEOM_DUPLICAT,Geometrie,Doppelte Geometrie
GEOM_SENKE,Geometrie,Zusammentreffen zweier Linien ohne Abfluss
GEOM_WASSERSCHEIDE,Geometrie,"Auseinanderfließen ohne Zufluss/ ""Wasserscheide"""
